TradeDate,Buy/Sell,Quantity,Symbol,Expiry,Strike,Put/Call,TradePrice,Proceeds,IBCommission,NetCash,AssetClass,Open/CloseIndicator,Multiplier,Notes/Codes
20140117,SELL,-100,AAPL,,,,500,50000,-0.8819,49999.1181,STK,O,1,A;
20140117,BUY,100,AAPL,,,,490,-49000,0,-49000,STK,C,1,Ex;
20140516,BUY,10,AMZN,,,,300,-3000,0,-3000,STK,O,1,A;
20140117,SELL,-100,INTC,,,,25,2500,-0.0554,2499.9446,STK,C,1,A;
20140530,BUY,100,LINE,,,,28.8,-2880,-1,-2881,STK,O,1,
20140417,BUY,100,MA,,,,77.5,-7750,0,-7750,STK,O,1,A;
20140516,BUY,100,WFM,,,,50,-5000,0,-5000,STK,O,1,A;
20140117,SELL,-1,AAPL  140118C00490000,18/01/2014,490,C,0,0,0,0,OPT,C,100,Ex;
20140117,BUY,1,AAPL  140118C00500000,18/01/2014,500,C,0,0,0,0,OPT,C,100,A;
20140109,BUY,1,AIG   140110C00051000,10/01/2014,51,C,1.05,-105,-1.0691,-106.0691,OPT,C,100,
20140109,SELL,-1,AIG   140222C00052500,22/02/2014,52.5,C,1.4,140,-1.073536,138.926464,OPT,O,100,
20140221,BUY,1,AIG   140222C00052500,22/02/2014,52.5,C,0,0,0,0,OPT,C,100,Ep;
20140224,SELL,-1,AIG   140328C00051000,28/03/2014,51,C,0.5,50,-0.77247,49.22753,OPT,O,100,
20140328,BUY,1,AIG   140328C00051000,28/03/2014,51,C,0,0,0,0,OPT,C,100,Ep;
20140402,SELL,-1,AIG   140425C00051000,25/04/2014,51,C,0.6,60,-1.093426,58.906574,OPT,O,100,
20140425,BUY,1,AIG   140425C00051000,25/04/2014,51,C,1.32,-132,-0.7901,-132.7901,OPT,C,100,
20140425,SELL,-1,AIG   140523C00052000,23/05/2014,52,C,1.46,146,-0.795327,145.204673,OPT,O,100,
20140521,BUY,1,AIG   140523C00052000,23/05/2014,52,C,1.44,-144,-0.7901,-144.7901,OPT,C,100,
20140521,SELL,-1,AIG   140816C00055000,16/08/2014,55,C,1.29,129,-0.794951,128.205049,OPT,O,100,
20140815,BUY,1,AIG   140816C00055000,16/08/2014,55,C,0,0,0,0,OPT,C,100,Ep;
20140819,SELL,-1,AIG   140926C00056000,26/09/2014,56,C,0.4,40,-1.091084,38.908916,OPT,O,100,
20140926,BUY,1,AIG   140926C00056000,26/09/2014,56,C,0,0,0,0,OPT,C,100,Ep;
20141013,SELL,-1,AIG   141122C00052500,22/11/2014,52.5,C,0.82,82,-0.792012,81.207988,OPT,O,100,
20141121,BUY,1,AIG   141122C00052500,22/11/2014,52.5,C,2.28,-228,-0.7882,-228.7882,OPT,C,100,
20141121,SELL,-1,AIG   150515C00055000,15/05/2015,55,C,2.78,278,-0.796344,277.203656,OPT,O,100,
20140731,SELL,-1,AMBA  141122P00025000,22/11/2014,25,P,1.6,160,-0.245636,159.754364,OPT,O,100,
20141121,BUY,1,AMBA  141122P00025000,22/11/2014,25,P,0,0,0,0,OPT,C,100,Ep;
20140519,SELL,-1,AMZN  140613C00305000,13/06/2014,305,C,5,500,-1.10315,498.89685,OPT,O,100,
20140519,BUY,1,AMZN  140613C00305000,13/06/2014,305,C,5,-500,-0.7901,-500.7901,OPT,C,100,
20140825,SELL,-1,AMZN  141122C00365000,22/11/2014,365,C,6.92,692,-0.805493,691.194507,OPT,O,100,
20141023,BUY,1,AMZN  141122C00365000,22/11/2014,365,C,1.37,-137,-1.5582,-138.5582,OPT,C,100,
20140825,SELL,-1,AMZN  141122P00300000,22/11/2014,300,P,5.83,583,-0.803084,582.196916,OPT,O,100,
20141023,BUY,1,AMZN  141122P00300000,22/11/2014,300,P,8.6,-860,-1.5582,-861.5582,OPT,C,100,
20140514,SELL,-1,AMZN7 140517P00300000,17/05/2014,300,P,2.75,27.5,-1.092708,26.407292,OPT,O,10,
20140516,BUY,1,AMZN7 140517P00300000,17/05/2014,300,P,0,0,0,0,OPT,C,10,A;
20140428,SELL,-1,AMZN7 140621P00285000,21/06/2014,285,P,10,100,-1.09431,98.90569,OPT,O,10,
20140620,BUY,1,AMZN7 140621P00285000,21/06/2014,285,P,0,0,0,0,OPT,C,10,Ep;
20140519,SELL,-1,AMZN7 140627C00310000,27/06/2014,310,C,5,50,-1.063205,48.936795,OPT,O,10,
20140625,BUY,1,AMZN7 140627C00310000,27/06/2014,310,C,15.2,-152,-1.0901,-153.0901,OPT,C,10,
20140625,SELL,-1,AMZN7 140725C00322500,25/07/2014,322.5,C,15.7,157,-1.09557,155.90443,OPT,O,10,
20140722,BUY,1,AMZN7 140725C00322500,25/07/2014,322.5,C,40.04,-400.4,-1.0601,-401.4601,OPT,C,10,
20140722,SELL,-1,AMZN7 140816C00345000,16/08/2014,345,C,23.54,235.4,-1.067302,234.332698,OPT,O,10,
20140815,BUY,1,AMZN7 140816C00345000,16/08/2014,345,C,0,0,0,0,OPT,C,10,Ep;
20140801,SELL,-1,AMZN7 140816P00300000,16/08/2014,300,P,5.3,53,-1.061371,51.938629,OPT,O,10,
20140815,BUY,1,AMZN7 140816P00300000,16/08/2014,300,P,0,0,0,0,OPT,C,10,Ep;
20141008,SELL,-1,BOFI  141122P00060000,22/11/2014,60,P,1.1,110,-0.242631,109.757369,OPT,O,100,
20141121,BUY,1,BOFI  141122P00060000,22/11/2014,60,P,0,0,0,0,OPT,C,100,Ep;
20140320,BUY,1,BRKB  140322C00120000,22/03/2014,120,C,3.75,-375,-1.0696,-376.0696,OPT,C,100,
20140320,SELL,-1,BRKB  140621C00125000,21/06/2014,125,C,3,300,-1.07823,298.92177,OPT,O,100,
20140619,BUY,1,BRKB  140621C00125000,21/06/2014,125,C,1.8,-180,-0.7901,-180.7901,OPT,C,100,
20140619,SELL,-1,BRKB  140920C00130000,20/09/2014,130,C,1.8,180,-0.796078,179.203922,OPT,O,100,
20140903,BUY,1,BRKB  140920C00130000,20/09/2014,130,C,7.98,-798,-0.7882,-798.7882,OPT,C,100,
20140903,SELL,-1,BRKB  141220C00135000,20/12/2014,135,C,5.58,558,-0.802532,557.197468,OPT,O,100,
20141219,BUY,1,BRKB  141220C00135000,20/12/2014,135,C,17.05,-1705,-0.7882,-1705.7882,OPT,C,100,
20140414,SELL,-1,BRKB  150117C00087500,17/01/2015,87.5,C,35.42,3542,-0.870378,3541.129622,OPT,C,100,
20140414,BUY,1,BRKB  150117P00087500,17/01/2015,87.5,P,0.51,-51,-0.7901,-51.7901,OPT,C,100,
20141219,SELL,-1,BRKB  150320C00145000,20/03/2015,145,C,9.68,968,-0.811593,967.188407,OPT,O,100,
20140414,BUY,1,BRKB  160115C00115000,15/01/2016,115,C,16.22,-1622,-0.7901,-1622.7901,OPT,O,100,
20140414,SELL,-1,BRKB  160115P00115000,15/01/2016,115,P,7.15,715,-0.807902,714.192098,OPT,O,100,
20140110,SELL,-1,COST  140419C00120000,19/04/2014,120,C,2.97,297,-1.076268,295.923732,OPT,O,100,
20140409,BUY,1,COST  140419C00120000,19/04/2014,120,C,0.03,-3,-1.0901,-4.0901,OPT,C,100,
20140409,SELL,-1,COST  140517C00115000,17/05/2014,115,C,1.08,108,-1.094487,106.905513,OPT,O,100,
