"TradeDate","Buy/Sell","Quantity","Symbol","Expiry","Strike","Put/Call","TradePrice","Proceeds","IBCommission","NetCash","AssetClass","Open/CloseIndicator","Multiplier","Notes/Codes"
"20150824","BUY","40","AAPL","","","","95.17","-3806.8","-1","-3807.8","STK","O","1",""
"20150515","SELL","-100","AIG","","","","55","5500","-0.1131","5499.8869","STK","C","1","A"
"20150812","BUY","34","AMT","","","","100","-3400","-1","-3401","STK","O","1",""
"20150918","SELL","-100","AMTD","","","","30","3000","-0.0671","2999.9329","STK","O","1","A"
"20150921","BUY","100","AMTD","","","","32.968","-3296.8","-1","-3297.8","STK","C","1",""
"20150717","BUY","100","AXP","","","","80","-8000","0","-8000","STK","O","1","A"
"20151110","BUY","100","AXP","","","","80","-8000","0","-8000","STK","O","1","A"
"20151016","BUY","100","BKS","","","","16.9","-1690","0","-1690","STK","O","1","A"
"20151016","BUY","63","BNED","","","","14.444444444","-909.999999997","0","-909.999999997","STK","O","1","A"
"20150730","BUY","45","DGS","","","","39.74","-1788.3","-1","-1789.3","STK","O","1",""
"20151130","BUY","200","FEYE","","","","35","-7000","0","-7000","STK","O","1","A"
"20150821","BUY","37","GILD","","","","107","-3959","-1","-3960","STK","O","1",""
"20150918","BUY","200","HAL","","","","40","-8000","0","-8000","STK","O","1","A"
"20151103","SELL","-200","INTC","","","","31","6200","-0.13788","6199.86212","STK","O","1","A"
"20151105","BUY","200","INTC","","","","25","-5000","0","-5000","STK","C","1","Ex"
"20150914","BUY","100","LUK","","","","23","-2300","0","-2300","STK","O","1","A"
"20150901","BUY","43","MDT","","","","70","-3010","-1","-3011","STK","O","1",""
"20151218","BUY","100","ORCL","","","","39","-3900","0","-3900","STK","O","1","A"
"20150821","BUY","100","OTEX","","","","50","-5000","0","-5000","STK","O","1","A"
"20151230","BUY","45","OTEX","","","","48.795","-2195.775","-1","-2196.775","STK","O","1",""
"20151230","BUY","10","OTEX","","","","48.77","-487.7","-1","-488.7","STK","O","1",""
"20150220","BUY","100","PRAA","","","","55","-5500","0","-5500","STK","O","1","A"
"20151016","BUY","100","PRLB","","","","65","-6500","0","-6500","STK","O","1","A"
"20151112","BUY","100","PRLB","","","","70","-7000","0","-7000","STK","O","1","A"
"20150821","BUY","100","SCTY","","","","50","-5000","0","-5000","STK","O","1","A"
"20151221","SELL","-100","SCTY","","","","45","4500","-0.0947","4499.9053","STK","C","1","A"
"20150821","BUY","100","SSTK","","","","60","-6000","0","-6000","STK","O","1","A"
"20150824","BUY","100","TWTR","","","","34.5","-3450","0","-3450","STK","O","1","A"
"20150929","BUY","25","VRSK","","","","72.25","-1806.25","-1","-1807.25","STK","O","1",""
"20150728","BUY","66","WFC","","","","57.73","-3810.18","-1","-3811.18","STK","O","1",""
"20150116","SELL","-100","WFM","","","","50.5","5050","-0.123505","5049.876495","STK","C","1","A"
"20150821","BUY","100","WFM","","","","41","-4100","0","-4100","STK","O","1","A"
"20150310","SELL","-1","AAL   150410C00052000","20150410","52","C","0.66","66","-0.793214","65.206786","OPT","O","100",""
"20150319","BUY","1","AAL   150410C00052000","20150410","52","C","5.36","-536","-1.09","-537.09","OPT","C","100",""
"20150319","SELL","-1","AAL   150410C00057000","20150410","57","C","2.65","265","-1.096876","263.903124","OPT","O","100",""
"20150410","BUY","1","AAL   150410C00057000","20150410","57","C","0","-0","0","0","OPT","C","100","Ep"
"20150825","SELL","-1","AAL   150918C00042500","20150918","42.5","C","0.57","57","-1.0957488","55.9042512","OPT","O","100",""
"20150917","BUY","1","AAL   150918C00042500","20150918","42.5","C","1.34","-134","-1.0917","-135.0917","OPT","C","100",""
"20150917","SELL","-1","AAL   151016C00045000","20151016","45","C","1.04","104","-1.0956136","102.9043864","OPT","O","100",""
"20151016","BUY","1","AAL   151016C00045000","20151016","45","C","0","-0","0","0","OPT","C","100","Ep"
"20150130","BUY","1","AAL   170120C00035000","20170120","35","C","20","-2000","-1.0882","-2001.0882","OPT","O","100",""
"20151007","SELL","-1","ACN   160219C00105000","20160219","105","C","3.29","329","-1.0997536","327.9002464","OPT","O","100",""
"20151007","BUY","1","ACN   170120C00075000","20170120","75","C","28.23","-2823","-1.0917","-2824.0917","OPT","O","100",""
"20150204","SELL","-1","AFSI  150619P00047500","20150619","47.5","P","3.5","350","-0.349735","349.650265","OPT","O","100",""
"20150619","BUY","1","AFSI  150619P00047500","20150619","47.5","P","0","-0","0","0","OPT","C","100","Ep"
"20150515","BUY","1","AIG   150515C00055000","20150515","55","C","0","-0","0","0","OPT","C","100","A"
"20150812","BUY","1","AMT   170120C00080000","20170120","80","C","22","-2200","-0.2427","-2200.2427","OPT","O","100",""
"20150824","SELL","-1","AMTD  150918C00030000","20150918","30","C","2.5","250","-0.6493","249.3507","OPT","O","100",""
"20150918","BUY","1","AMTD  150918C00030000","20150918","30","C","0","-0","0","0","OPT","C","100","A"
"20151009","SELL","-1","AMTD  151120P00029000","20151120","29","P","0.45","45","-0.644528","44.355472","OPT","O","100",""
"20151120","BUY","1","AMTD  151120P00029000","20151120","29","P","0","-0","0","0","OPT","C","100","Ep"
"20151009","SELL","-1","AMTD  151120P00030000","20151120","30","P","0.68","68","-0.2549512","67.7450488","OPT","O","100",""
"20151120","BUY","1","AMTD  151120P00030000","20151120","30","P","0","-0","0","0","OPT","C","100","Ep"
"20150316","SELL","-1","AMZN7 150417C00390000","20150417","390","C","5","50","-1.09292","48.90708","OPT","O","10",""
"20150417","BUY","1","AMZN7 150417C00390000","20150417","390","C","0","-0","0","0","OPT","C","10","Ep"
"20150420","SELL","-1","AMZN7 150717C00415000","20150717","415","C","10.5","105","-1.093932","103.906068","OPT","O","10",""
"20150717","BUY","1","AMZN7 150717C00415000","20150717","415","C","67.5","-675","-1.09","-676.09","OPT","C","10",""
"20150210","SELL","-1","AXP   150227P00085000","20150227","85","P","1.1","110","-0.794431","109.205569","OPT","O","100",""
"20150226","BUY","1","AXP   150227P00085000","20150227","85","P","2.06","-206","-1.09","-207.09","OPT","C","100",""
"20150226","SELL","-1","AXP   150320P00084000","20150320","84","P","2.06","206","-1.09579","204.90421","OPT","O","100",""
"20150318","BUY","1","AXP   150320P00084000","20150320","84","P","3.59","-359","-1.09","-360.09","OPT","C","100",""
"20150318","SELL","-1","AXP   150417P00082500","20150417","82.5","P","3.59","359","-1.098606","357.901394","OPT","O","100",""
"20150417","BUY","1","AXP   150417P00082500","20150417","82.5","P","5.28","-528","-1.09","-529.09","OPT","C","100",""
"20150331","SELL","-1","AXP   150501P00077500","20150501","77.5","P","1.6","160","-0.794944","159.205056","OPT","O","100",""
"20150501","BUY","1","AXP   150501P00077500","20150501","77.5","P","0","-0","0","0","OPT","C","100","Ep"
"20150504","SELL","-1","AXP   150605P00077500","20150605","77.5","P","1.1","110","-0.794024","109.205976","OPT","O","100",""
"20150605","BUY","1","AXP   150605P00077500","20150605","77.5","P","0","-0","0","0","OPT","C","100","Ep"
"20150609","SELL","-1","AXP   150717P00077500","20150717","77.5","P","1.25","125","-0.7943","124.2057","OPT","O","100",""
"20150717","BUY","1","AXP   150717P00077500","20150717","77.5","P","0","-0","0","0","OPT","C","100","Ep"
"20150417","SELL","-1","AXP   150717P00080000","20150717","80","P","4.58","458","-1.100427","456.899573","OPT","O","100",""
"20150717","BUY","1","AXP   150717P00080000","20150717","80","P","0","-0","0","0","OPT","C","100","A"
"20150722","SELL","-1","AXP   150918C00080000","20150918","80","C","1.76","176","-1.0952384","174.9047616","OPT","O","100",""
"20150916","BUY","1","AXP   150918C00080000","20150918","80","C","0.05","-5","-1.0917","-6.0917","OPT","C","100",""
"20150722","SELL","-1","AXP   150918P00080000","20150918","80","P","2.74","274","-1.0970416","272.9029584","OPT","O","100",""
"20150916","BUY","1","AXP   150918P00080000","20150918","80","P","2.99","-299","-1.0917","-300.0917","OPT","C","100",""
"20150916","SELL","-1","AXP   151016C00080000","20151016","80","C","0.97","97","-1.0954848","95.9045152","OPT","O","100",""
"20151016","BUY","1","AXP   151016C00080000","20151016","80","C","0","-0","0","0","OPT","C","100","Ep"
"20150916","SELL","-1","AXP   151016P00080000","20151016","80","P","3.57","357","-1.1002688","355.8997312","OPT","O","100",""
"20151015","BUY","1","AXP   151016P00080000","20151016","80","P","3.38","-338","-1.0917","-339.0917","OPT","C","100",""
"20151015","SELL","-1","AXP   151120C00080000","20151120","80","C","0.63","63","-1.0948592","61.9051408","OPT","O","100",""
